Symbol,Fund Name,Asset Class,Assets,Stock Price,% Change,Volume,Holdings,Open,Low,High,Close,Premkt. Price,Premkt. Chg%,Premkt. Close,Afterhr. Price,Afterhr. Chg%,Afterhr. Close,Category,52W Low,52W High,Avg. Volume,Rel. Volume,Gap (%),Chg. Open (%),Exp. Ratio,Issuer,Index,Inception,PE Ratio,Beta (5Y),RSI,RSI (W),RSI (M),ATR,Div. ($),Last Div.,Div. Yield,Div. Growth,Years,Payout Ratio,Payout Freq.,Ex-Div Date,Payment Date,Exchange,Region,Country,Leverage,Options,Shares,Change 1M,Change 3M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y,Change 10Y,Change 15Y,Change 20Y,Return 1M,Return 3M,Return 6M,Return YTD,Return 1Y,Return 3Y,Return 5Y,Return 10Y,Return 15Y,Return 20Y,CAGR 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,CAGR 15Y,CAGR 20Y,52W Low Chg,52W High Chg,ATH,ATH Chg (%),ATH Date,ATL,ATL Chg (%),ATL Date,Tags,50 MA,200 MA,20 MA,150 MA,20MA Chg %,50MA Chg %,150MA Chg %,200MA Chg %,CUSIP Number,ISIN Number
IEFA,iShares Core MSCI EAFE ETF,Equity,119510030000,72.54,-0.36%,7448092,2703,72.93,72.52,72.93,72.80,73.00,0.27%,72.80,,,,Foreign Large Blend,68.74,78.83,10357762,73.10%,0.18%,-0.53%,0.07%,BlackRock,MSCI EAFE IMI,2012-10-18,16.44,0.88,59.27,48.63,52.82,0.76,2.44,1.13,3.36%,8.35%,2,55.32%,Semi-Annual,2024-12-17,2024-12-20,BATS,EAFE,,Long,Yes,1676000000,3.82%,-3.83%,-1.95%,3.22%,5.30%,0.51%,10.58%,29.60%,,,3.82%,-2.32%,-0.41%,3.22%,8.87%,10.30%,28.10%,73.65%,,,8.85%,3.32%,5.08%,5.67%,,,5.53%,-7.98%,78.83,-7.97%,2024-09-26,42.29,71.53%,2020-03-16,,72.07,73.88,70.71,73.92,2.60%,0.65%,-1.86%,-1.81%,46432F842,US46432F8427
IWF,iShares Russell 1000 Growth ETF,Equity,106310340000,415.61,1.43%,728140,400,413.54,413.42,416.96,409.76,414.00,1.03%,409.76,,,,Large Growth,310.51,419.53,1676567,43.86%,0.92%,0.50%,0.19%,BlackRock,Russell 1000 Growth,2000-05-22,38.35,1.09,59.71,65.55,78.20,6.75,1.84,0.43,0.44%,-9.27%,,16.97%,Quarterly,2024-12-17,2024-12-20,NYSEARCA,North America,United States,Long,Yes,260950000,2.03%,8.18%,14.91%,3.49%,33.11%,55.11%,125.30%,337.58%,735.40%,785.60%,2.03%,8.29%,15.20%,3.49%,33.77%,58.39%,133.35%,382.84%,891.44%,1013.34%,33.69%,16.56%,18.46%,17.05%,16.52%,12.81%,33.85%,-0.93%,419.53,-0.93%,2024-12-16,30.18,1277.10%,2009-03-06,,403.85,369.13,406.30,379.55,2.29%,2.91%,9.50%,12.59%,464287614,US4642876142
IJH,iShares Core S&P Mid-Cap ETF,Equity,98663236000,65.48,-0.49%,7323809,409,65.78,65.41,65.91,65.80,,,,,,,Mid-Cap Blend,54.14,68.33,9156705,80.31%,-0.03%,-0.46%,0.05%,BlackRock,S&P Mid Cap 400,2000-05-22,19.32,1.14,61.83,58.01,61.87,0.91,0.83,0.27,1.26%,2.17%,1,24.28%,Quarterly,2024-12-17,2024-12-20,NYSEARCA,North America,United States,Long,Yes,1526900000,5.00%,3.67%,8.68%,5.09%,19.85%,26.70%,57.42%,128.55%,345.08%,415.92%,5.00%,4.10%,9.55%,5.09%,21.47%,32.69%,69.80%,166.31%,454.45%,587.89%,21.42%,9.89%,11.17%,10.29%,12.10%,10.12%,20.95%,-4.17%,68.33,-4.17%,2024-11-25,6.13,967.49%,2010-05-06,,64.74,61.26,63.17,62.10,3.66%,1.15%,5.44%,6.89%,464287507,US4642875078
IJR,iShares Core S&P Small Cap ETF,Equity,89391055000,118.92,-0.87%,3395516,612,119.80,118.79,119.80,119.96,119.92,-0.03%,119.96,118.86,-0.05%,118.92,Small Blend,101.85,128.61,4070545,84.78%,-0.13%,-0.73%,0.06%,BlackRock,S&P Small Cap 600,2000-05-22,18.12,1.15,54.47,53.57,57.21,1.97,2.37,1.14,1.99%,66.32%,2,36.04%,Quarterly,2024-12-17,2024-12-20,NYSEARCA,North America,United States,Long,Yes,756850000,2.67%,2.46%,4.58%,3.21%,13.97%,13.47%,40.62%,115.69%,329.47%,361.23%,2.67%,3.42%,6.04%,3.21%,16.33%,19.19%,52.36%,150.62%,431.44%,500.70%,16.30%,6.03%,8.78%,9.62%,11.78%,9.38%,16.76%,-7.53%,128.61,-7.53%,2024-11-25,13.66,770.57%,2010-05-06,,120.50,113.48,116.13,115.59,2.40%,-1.31%,2.88%,4.79%,464287804,US4642878049
VIG,Vanguard Dividend Appreciation ETF,Equity,88332180000,201.08,-0.01%,758540,340,201.75,201.03,201.85,201.10,,,,,,,Large Blend,172.30,205.20,1285992,59.62%,0.32%,-0.33%,0.06%,Vanguard,S&P U.S. Dividend Growers Index,2006-04-21,25.91,0.86,60.13,57.54,65.62,1.98,3.38,0.88,1.68%,5.30%,11,43.55%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,443568244,1.91%,0.55%,7.31%,2.68%,16.92%,25.84%,56.36%,150.38%,327.83%,,2.36%,0.99%,8.24%,2.68%,19.02%,33.33%,71.74%,204.93%,480.37%,,18.98%,10.06%,11.42%,11.79%,12.44%,,16.70%,-2.01%,205.20,-2.01%,2024-11-29,30.29,563.85%,2009-03-06,,199.73,190.70,196.99,194.53,2.07%,0.68%,3.37%,5.44%,921908844,US9219088443
VGT,Vanguard Information Technology ETF,Equity,86549570000,645.27,2.00%,788616,319,640.00,639.37,646.40,632.60,640.06,1.18%,632.60,,,,Technology,478.25,648.66,595522,132.42%,1.17%,0.82%,0.10%,Vanguard,MSCI US IMI 25/50 Information Technology,2004-01-26,39.46,1.16,59.33,62.31,76.39,12.15,3.72,0.78,0.58%,18.95%,2,22.72%,Quarterly,2024-12-18,2024-12-20,NYSEARCA,North America,United States,Long,Yes,137912220,2.16%,6.32%,12.65%,3.78%,29.13%,60.34%,148.90%,529.66%,1087.03%,1380.66%,2.16%,6.45%,12.97%,3.78%,29.98%,63.97%,159.07%,597.50%,1278.93%,1657.70%,29.91%,17.92%,20.96%,21.44%,19.11%,15.41%,34.92%,-0.52%,648.66,-0.52%,2024-12-16,28.85,2136.64%,2008-11-21,,627.53,576.33,628.63,593.64,2.65%,2.83%,8.70%,11.96%,92204A702,US92204A7028
VWO,Vanguard FTSE Emerging Markets ETF,Equity,78891730000,44.17,-0.09%,7841715,4919,44.21,44.04,44.28,44.21,44.44,0.52%,44.21,44.10,-0.16%,44.17,Diversified Emerging Mkts,39.43,49.57,10109150,77.74%,,-0.09%,0.08%,Vanguard,FTSE Custom Emerging Markets All Cap China A Inclusion Net Tax (US RIC) Index,2005-03-04,14.41,0.69,48.19,46.45,52.69,0.47,1.41,1.07,3.19%,-2.69%,,45.97%,Quarterly,2024-12-20,2024-12-24,NYSEARCA,Global,,Long,Yes,2576695871,-0.52%,-6.99%,0.55%,0.30%,11.46%,-11.06%,-1.34%,7.34%,9.93%,,-0.52%,-4.76%,3.27%,0.30%,15.02%,-1.02%,15.19%,44.17%,66.30%,,14.99%,-0.34%,2.87%,3.73%,3.45%,,12.02%,-10.89%,58.93,-25.04%,2007-10-31,18.50,138.76%,2008-11-20,,45.14,44.68,43.90,45.24,0.61%,-2.14%,-2.37%,-1.15%,922042858,US9220428588
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,78152974000,52.93,0.02%,7299579,2857,52.95,52.80,53.06,52.92,,,,,,,Diversified Emerging Mkts,48.31,59.00,8482025,86.06%,0.06%,-0.04%,0.09%,BlackRock,MSCI Emerging Markets IMI,2012-10-18,13.93,0.73,51.51,46.05,51.46,0.56,1.67,1.16,3.16%,14.52%,2,44.01%,Semi-Annual,2024-12-17,2024-12-20,NYSEARCA,Emerging Markets,,Long,Yes,1489800000,0.47%,-7.14%,-1.34%,1.36%,9.36%,-11.47%,-2.09%,9.65%,,,0.47%,-5.12%,0.80%,1.36%,12.82%,-3.49%,12.32%,43.19%,,,12.79%,-1.18%,2.35%,3.66%,,,9.56%,-10.29%,69.87,-24.25%,2021-02-16,33.91,56.09%,2016-01-20,,53.65,54.00,52.33,54.45,1.14%,-1.35%,-2.80%,-1.99%,46434G103,US46434G1031
GLD,SPDR Gold Shares,Commodity,76078210000,254.43,0.51%,4862602,1,254.29,253.78,254.68,253.13,254.26,0.45%,253.13,,,,Commodities Focused,183.78,257.71,6099924,79.73%,0.46%,0.06%,0.40%,State Street,LBMA Gold Price,2004-11-18,-27.08,0.19,66.30,66.23,75.56,2.41,,,,,,,,,,NYSEARCA,,,Long,Yes,305600000,5.09%,1.28%,14.75%,5.08%,35.39%,48.71%,73.39%,104.81%,136.97%,495.30%,5.09%,1.28%,14.75%,5.08%,35.39%,48.71%,73.39%,104.81%,136.97%,495.30%,35.30%,14.14%,11.63%,7.43%,5.92%,9.33%,38.44%,-1.27%,257.71,-1.27%,2024-10-30,41.02,520.26%,2005-02-09,,244.49,231.93,245.58,236.93,3.60%,4.07%,7.39%,9.70%,78463V107,US78463V1070
VXUS,Vanguard Total International Stock ETF,Equity,75809930000,60.39,-0.21%,3125233,8574,60.63,60.37,60.66,60.52,60.75,0.38%,60.52,60.73,0.56%,60.39,Foreign Large Blend,56.48,65.52,4670400,66.92%,0.18%,-0.40%,0.08%,Vanguard,FTSE Global All Cap x US,2011-01-26,15.64,0.86,56.15,48.13,53.07,0.60,1.99,1.00,3.29%,5.53%,2,51.41%,Quarterly,2024-12-20,2024-12-24,NASDAQ,Global,,Long,Yes,1274846713,2.57%,-4.49%,-1.37%,2.48%,7.00%,-2.74%,7.80%,23.42%,,,2.57%,-2.86%,0.74%,2.48%,10.59%,7.20%,25.58%,66.40%,,,10.57%,2.34%,4.66%,5.22%,,,6.92%,-7.83%,67.51,-10.55%,2021-06-14,36.42,65.82%,2020-03-18,,60.52,61.30,59.18,61.60,2.04%,-0.21%,-1.96%,-1.48%,921909768,US9219097683
VO,Vanguard Mid-Cap ETF,Equity,75417390000,276.68,-0.25%,577335,319,278.18,276.54,278.18,277.38,,,,276.75,0.03%,276.68,Mid-Cap Blend,228.17,285.60,678952,85.03%,0.29%,-0.54%,0.04%,Vanguard,CRSP US Mid Cap,2004-01-26,23.69,1.10,62.01,59.87,63.05,3.28,3.94,1.09,1.43%,11.54%,3,41.88%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,849262826,3.27%,3.08%,11.52%,4.75%,20.86%,20.64%,51.08%,126.51%,355.61%,402.78%,3.69%,3.50%,12.38%,4.75%,22.75%,26.54%,63.15%,164.03%,466.06%,572.08%,22.69%,8.16%,10.28%,10.19%,12.25%,9.99%,21.26%,-3.12%,285.60,-3.12%,2024-11-27,26.27,953.22%,2010-05-06,,273.96,256.37,268.07,260.91,3.21%,0.99%,6.05%,7.92%,922908629,US9229086296
RSP,Invesco S&P 500 Equal Weight ETF,Equity,73922150000,181.49,-0.35%,7864164,508,182.28,181.43,182.40,182.13,182.25,0.07%,182.13,,,,Large Blend,155.79,188.16,7108321,113.32%,0.08%,-0.43%,0.20%,Invesco,S&P 500 Equal Weighted,2003-04-24,21.89,1.07,59.80,56.77,61.31,2.01,2.66,0.62,1.47%,3.02%,3,32.06%,Quarterly,2024-12-23,2024-12-27,NYSEARCA,North America,United States,Long,Yes,412442663,2.73%,0.65%,7.77%,3.57%,16.47%,18.55%,53.92%,130.41%,355.20%,386.05%,3.10%,1.00%,8.57%,3.57%,18.30%,24.78%,68.03%,173.09%,481.79%,565.48%,18.26%,7.66%,10.93%,10.57%,12.46%,9.94%,16.50%,-3.54%,188.16,-3.54%,2024-11-29,18.00,908.28%,2010-05-06,,180.84,172.52,176.93,175.28,2.58%,0.36%,3.54%,5.20%,46137V357,US46137V3574
XLK,Technology Select Sector SPDR Fund,Equity,73351390000,241.39,2.26%,5049594,72,239.25,238.91,241.95,236.06,239.10,1.31%,236.02,,,,Technology,190.75,241.95,4517687,111.77%,1.35%,0.89%,0.09%,State Street,Technology Select Sector,1998-12-16,39.07,1.13,59.97,59.75,72.61,4.36,1.52,0.39,0.63%,4.38%,3,24.67%,Quarterly,2024-12-23,,NYSEARCA,North America,United States,Long,Yes,313305897,2.30%,4.05%,9.29%,3.81%,20.59%,56.41%,148.65%,491.79%,975.71%,1123.47%,2.47%,4.22%,9.66%,3.81%,21.42%,60.40%,160.16%,570.45%,1225.01%,1491.34%,21.37%,17.06%,21.06%,20.96%,18.80%,14.84%,26.55%,-0.23%,241.95,-0.23%,2025-01-22,11.40,2017.46%,2002-10-09,,235.25,222.07,234.60,226.81,2.89%,2.61%,6.43%,8.70%,81369Y803,US81369Y8030
IWM,iShares Russell 2000 ETF,Equity,71836710000,228.26,-0.67%,20866315,1973,229.48,227.83,229.85,229.79,229.37,-0.18%,229.79,228.24,-0.01%,228.26,Small Blend,190.06,244.98,27259946,76.55%,-0.13%,-0.53%,0.19%,BlackRock,Russell 2000,2000-05-22,18.01,1.17,55.14,54.30,58.26,3.96,2.53,0.69,1.11%,-6.40%,,19.96%,Quarterly,2024-12-17,2024-12-20,NYSEARCA,North America,United States,Long,Yes,322100000,2.86%,2.77%,5.27%,3.30%,18.62%,15.87%,36.14%,97.05%,263.14%,275.55%,2.86%,3.08%,5.95%,3.30%,20.02%,20.73%,45.23%,125.21%,346.72%,392.08%,19.98%,6.48%,7.75%,8.46%,10.49%,8.29%,20.10%,-6.83%,244.98,-6.83%,2024-11-25,32.30,606.69%,2002-10-10,,230.43,215.49,222.84,219.98,2.43%,-0.94%,3.77%,5.93%,464287655,US4642876555
SCHD,Schwab US Dividend Equity ETF,Equity,67852900000,27.92,-1.06%,15568888,103,28.15,27.92,28.15,28.22,28.17,-0.18%,28.22,27.94,0.07%,27.92,Large Value,25.16,29.72,17030454,91.42%,-0.25%,-0.82%,0.06%,Charles Schwab,Dow Jones U.S. Dividend 100,2011-10-20,18.52,0.88,53.11,51.52,57.68,0.31,0.99,0.26,3.56%,12.21%,10,65.96%,Quarterly,2024-12-11,2024-12-16,NYSEARCA,North America,United States,Long,Yes,2425050000,2.31%,-1.93%,3.27%,2.20%,9.36%,7.85%,41.99%,109.50%,,,2.31%,-1.01%,5.18%,2.20%,13.44%,20.20%,69.46%,190.02%,,,13.41%,6.32%,11.12%,11.23%,,,10.97%,-6.06%,29.72,-6.06%,2024-11-25,8.08,245.42%,2011-11-25,,28.24,27.28,27.50,27.70,1.53%,-1.13%,0.80%,2.36%,808524797,US8085247976
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,65720558000,133.47,0.50%,899788,2511,133.51,133.31,133.76,132.81,,,,133.00,-0.35%,133.47,Large Blend,106.31,134.51,1490667,60.37%,0.53%,-0.03%,0.03%,BlackRock,S&P TMI,2004-01-20,27.17,1.04,61.81,62.51,71.16,1.59,1.58,0.47,1.18%,1.74%,4,32.13%,Quarterly,2024-12-17,,NYSEARCA,North America,United States,Long,Yes,499800000,2.84%,4.40%,10.88%,3.77%,25.65%,36.32%,78.58%,188.30%,430.91%,417.77%,2.84%,4.76%,11.69%,3.77%,27.27%,42.59%,92.55%,242.63%,591.88%,638.63%,27.21%,12.55%,13.99%,13.10%,13.76%,10.52%,25.55%,-0.77%,134.51,-0.77%,2024-12-06,14.94,793.67%,2009-03-06,,131.22,122.49,130.10,125.30,2.59%,1.71%,6.52%,8.96%,464287150,US4642871507
VB,Vanguard Small-Cap ETF,Equity,65665204000,251.26,-0.55%,564386,1375,252.91,251.17,252.96,252.64,257.33,1.86%,252.64,,,,Small Blend,205.93,263.35,772638,73.05%,0.11%,-0.65%,0.05%,Vanguard,CRSP US Small Cap,2004-01-26,20.05,1.16,59.32,58.39,61.59,3.66,3.13,0.90,1.25%,-5.55%,,25.00%,Quarterly,2024-12-23,2024-12-26,NYSEARCA,North America,United States,Long,Yes,989124439,3.51%,4.94%,10.59%,4.57%,20.97%,23.32%,49.09%,120.42%,333.13%,372.38%,3.89%,5.33%,11.33%,4.57%,22.62%,29.18%,60.35%,155.45%,438.77%,531.35%,22.57%,8.91%,9.90%,9.83%,11.88%,9.65%,22.01%,-4.59%,263.35,-4.59%,2024-11-25,25.00,905.04%,2010-05-06,,249.83,232.03,243.67,236.20,3.12%,0.57%,6.38%,8.29%,922908751,US9229087518
IWD,iShares Russell 1000 Value ETF,Equity,63114640000,192.65,-0.58%,1866008,875,193.74,192.59,193.74,193.78,,,,,,,Large Value,164.00,200.42,3372031,55.90%,-0.02%,-0.56%,0.19%,BlackRock,Russell 1000 Value,2000-05-22,20.48,0.97,60.43,56.62,61.49,2.07,3.47,0.98,1.80%,3.98%,3,36.91%,Quarterly,2024-12-17,,NYSEARCA,North America,United States,Long,Yes,327250000,3.83%,0.39%,7.12%,4.06%,17.63%,19.12%,39.71%,87.60%,232.61%,199.52%,3.83%,0.91%,8.27%,4.06%,19.88%,26.75%,55.07%,135.07%,365.20%,375.57%,19.84%,8.22%,9.17%,8.92%,10.79%,8.11%,17.47%,-3.88%,200.42,-3.88%,2024-11-29,33.52,474.73%,2009-03-06,,191.60,183.43,187.26,186.33,2.88%,0.55%,3.39%,5.03%,464287598,US4642875987
